{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'budget allocations', 'improved_column_name': 'budget identifier', 'related_table': 'Classifications'}
{'table_name': 'Locations', 'column_name': 'contract_id', 'improved_table_name': 'geographic locations', 'improved_column_name': 'contract reference identifier', 'related_table': 'Contracts'}
{'table_name': 'Locations', 'column_name': 'country_subentity', 'improved_table_name': 'geographic locations', 'improved_column_name': 'subnational geographic entity', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_subentity_code', 'improved_table_name': 'geographic locations', 'improved_column_name': 'subnational geographic entity code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_code', 'improved_table_name': 'geographic locations', 'improved_column_name': 'country code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_name', 'improved_table_name': 'geographic locations', 'improved_column_name': 'country name', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'parent_id', 'improved_table_name': 'parent organizations', 'improved_column_name': 'parent organization identifier', 'related_table': 'Parent Organizations'}
{'table_name': 'Parent Organizations', 'column_name': 'party_id', 'improved_table_name': 'parent organizations', 'improved_column_name': 'party identifier', 'related_table': 'Classifications'}
{'table_name': 'Parent Organizations', 'column_name': 'contract_id', 'improved_table_name': 'parent organizations', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Parent Organizations', 'column_name': 'level', 'improved_table_name': 'parent organizations', 'improved_column_name': 'organizational level', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'name', 'improved_table_name': 'parent organizations', 'improved_column_name': 'organization name', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'result_id', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'tender award identifier', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_id', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Tender Results', 'column_name': 'result_code', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'award result code', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'description', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'detailed description of the award outcome', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'award_date', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'date when the award was granted', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'received_tender_quantity', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'quantity of tenders received', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_id', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'contract issuance identifier', 'related_table': 'Contracts'}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_date', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'date when the contract was issued', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_tax_exclusive', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'awarded amount excluding tax', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_payable_amount', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'total awarded amount payable', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'currency', 'improved_table_name': 'tender award outcomes', 'improved_column_name': 'currency of the awarded amount', 'related_table': 'Classifications'}
{'table_name': 'Valid Notices', 'column_name': 'notice_id', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'notice identifier', 'related_table': 'Contracts'}
{'table_name': 'Valid Notices', 'column_name': 'contract_id', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Valid Notices', 'column_name': 'notice_type_code', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'notice type code', 'related_table': 'Classifications'}
{'table_name': 'Valid Notices', 'column_name': 'publication_media', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'publication medium', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'issue_date', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'issue date', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_type_code', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'document type code', 'related_table': 'Classifications'}
{'table_name': 'Valid Notices', 'column_name': 'document_type_name', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'document type name', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_uri', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'document uniform resource identifier', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'file_name', 'improved_table_name': 'list of valid notices', 'improved_column_name': 'file name', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'winning_party_id', 'improved_table_name': 'winning parties', 'improved_column_name': 'winning party identifier', 'related_table': 'Tender Results'}
{'table_name': 'Winning Party', 'column_name': 'result_id', 'improved_table_name': 'winning parties', 'improved_column_name': 'tender result identifier', 'related_table': 'Tender Results'}
{'table_name': 'Winning Party', 'column_name': 'contract_id', 'improved_table_name': 'winning parties', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Winning Party', 'column_name': 'party_nif', 'improved_table_name': 'winning parties', 'improved_column_name': 'party tax identification number', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'party_name', 'improved_table_name': 'winning parties', 'improved_column_name': 'party name', 'related_table': None}
