{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'agency information', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'frequencies', 'column_name': 'exact_times', 'improved_table_name': 'Frequency-Based Trip Schedules', 'improved_column_name': 'exact times indicator', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_id', 'improved_table_name': 'list of routes', 'improved_column_name': 'route identifier', 'related_table': None}
{'table_name': 'routes', 'column_name': 'agency_id', 'improved_table_name': 'list of routes', 'improved_column_name': 'agency identifier', 'related_table': 'agency'}
{'table_name': 'routes', 'column_name': 'route_short_name', 'improved_table_name': 'list of routes', 'improved_column_name': 'short name of the route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_long_name', 'improved_table_name': 'list of routes', 'improved_column_name': 'long name of the route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_desc', 'improved_table_name': 'list of routes', 'improved_column_name': 'description of the route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_type', 'improved_table_name': 'list of routes', 'improved_column_name': 'type of route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_url', 'improved_table_name': 'list of routes', 'improved_column_name': 'URL for the route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_color', 'improved_table_name': 'list of routes', 'improved_column_name': 'color code for the route', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_text_color', 'improved_table_name': 'list of routes', 'improved_column_name': 'text color for the route', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_id', 'improved_table_name': 'geographic shape points', 'improved_column_name': 'shape identifier', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lat', 'improved_table_name': 'geographic shape points', 'improved_column_name': 'shape point latitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lon', 'improved_table_name': 'geographic shape points', 'improved_column_name': 'shape point longitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_sequence', 'improved_table_name': 'geographic shape points', 'improved_column_name': 'shape point sequence number', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'geographic shape points', 'improved_column_name': 'cumulative distance traveled', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'trip_id', 'improved_table_name': 'stop timing records', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'stop_times', 'column_name': 'arrival_time', 'improved_table_name': 'stop timing records', 'improved_column_name': 'arrival time', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'departure_time', 'improved_table_name': 'stop timing records', 'improved_column_name': 'departure time', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_id', 'improved_table_name': 'stop timing records', 'improved_column_name': 'stop identifier', 'related_table': 'stops'}
{'table_name': 'stop_times', 'column_name': 'stop_sequence', 'improved_table_name': 'stop timing records', 'improved_column_name': 'stop sequence number', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_headsign', 'improved_table_name': 'stop timing records', 'improved_column_name': 'destination sign text at stop', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'pickup_type', 'improved_table_name': 'stop timing records', 'improved_column_name': 'pickup type', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'drop_off_type', 'improved_table_name': 'stop timing records', 'improved_column_name': 'drop-off type', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'stop timing records', 'improved_column_name': 'distance traveled along shape', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_id', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_code', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop code', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_name', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop name', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_desc', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop description', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lat', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop latitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lon', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop longitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'zone_id', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'zone identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_url', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop URL', 'related_table': None}
{'table_name': 'stops', 'column_name': 'location_type', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'location type', 'related_table': None}
{'table_name': 'stops', 'column_name': 'parent_station', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'parent station', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_timezone', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'stop time zone', 'related_table': None}
{'table_name': 'stops', 'column_name': 'wheelchair_boarding', 'improved_table_name': 'Public Transit Stops', 'improved_column_name': 'wheelchair boarding availability', 'related_table': None}
{'table_name': 'trips', 'column_name': 'route_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier of the route', 'related_table': 'routes'}
{'table_name': 'trips', 'column_name': 'service_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier of the service', 'related_table': 'calendar'}
{'table_name': 'trips', 'column_name': 'trip_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier of the trip', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_headsign', 'improved_table_name': 'Trip Details', 'improved_column_name': 'headsign of the trip', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_short_name', 'improved_table_name': 'Trip Details', 'improved_column_name': 'short name of the trip', 'related_table': None}
{'table_name': 'trips', 'column_name': 'direction_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier for the direction', 'related_table': None}
{'table_name': 'trips', 'column_name': 'block_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier of the block', 'related_table': None}
{'table_name': 'trips', 'column_name': 'shape_id', 'improved_table_name': 'Trip Details', 'improved_column_name': 'identifier of the shape', 'related_table': 'shapes'}
{'table_name': 'trips', 'column_name': 'wheelchair_accessible', 'improved_table_name': 'Trip Details', 'improved_column_name': 'indicator of wheelchair accessibility', 'related_table': None}
