{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'list of transit agencies', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'trip_id', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'stop_times', 'column_name': 'arrival_time', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'scheduled arrival time', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'departure_time', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'scheduled departure time', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_id', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'stop identifier', 'related_table': 'stops'}
{'table_name': 'stop_times', 'column_name': 'stop_sequence', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'stop sequence number', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_headsign', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'stop headsign text', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'pickup_type', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'pickup type code', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'drop_off_type', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'drop-off type code', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'scheduled stop times', 'improved_column_name': 'cumulative distance traveled along shape', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_id', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_code', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop code', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_name', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop name', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_desc', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop description', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lat', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop latitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lon', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop longitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'zone_id', 'improved_table_name': 'public transit stops', 'improved_column_name': 'zone identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_url', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop website URL', 'related_table': None}
{'table_name': 'stops', 'column_name': 'location_type', 'improved_table_name': 'public transit stops', 'improved_column_name': 'location type', 'related_table': None}
{'table_name': 'stops', 'column_name': 'parent_station', 'improved_table_name': 'public transit stops', 'improved_column_name': 'parent station identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_timezone', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop time zone', 'related_table': None}
{'table_name': 'stops', 'column_name': 'wheelchair_boarding', 'improved_table_name': 'public transit stops', 'improved_column_name': 'wheelchair boarding indicator', 'related_table': None}
{'table_name': 'trips', 'column_name': 'route_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'route identifier', 'related_table': 'routes'}
{'table_name': 'trips', 'column_name': 'service_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'trips', 'column_name': 'trip_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'trip identifier', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_headsign', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'trip headsign text', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_short_name', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'trip short name', 'related_table': None}
{'table_name': 'trips', 'column_name': 'direction_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'direction indicator', 'related_table': None}
{'table_name': 'trips', 'column_name': 'block_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'block identifier', 'related_table': None}
{'table_name': 'trips', 'column_name': 'shape_id', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'geospatial shape identifier', 'related_table': 'shapes'}
{'table_name': 'trips', 'column_name': 'wheelchair_accessible', 'improved_table_name': 'list of scheduled trips', 'improved_column_name': 'wheelchair accessibility flag', 'related_table': None}
