{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'budgeted monetary amounts', 'improved_column_name': 'budget identifier', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_tax_exclusive', 'improved_table_name': 'tender award results', 'improved_column_name': 'awarded amount excluding tax', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_payable_amount', 'improved_table_name': 'tender award results', 'improved_column_name': 'awarded payable amount', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'currency', 'improved_table_name': 'tender award results', 'improved_column_name': 'transaction currency code', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'notice_id', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'notice identifier', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'contract_id', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Valid Notices', 'column_name': 'notice_type_code', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'notice type code', 'related_table': 'Classifications'}
{'table_name': 'Valid Notices', 'column_name': 'publication_media', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'publication medium', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'issue_date', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'date issued', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_type_code', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'document type code', 'related_table': 'Classifications'}
{'table_name': 'Valid Notices', 'column_name': 'document_type_name', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'document type name', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_uri', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'document URI', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'file_name', 'improved_table_name': 'validated procurement notices', 'improved_column_name': 'file name', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'winning_party_id', 'improved_table_name': 'awarded contracting parties', 'improved_column_name': 'winning party identifier', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'result_id', 'improved_table_name': 'awarded contracting parties', 'improved_column_name': 'tender result identifier', 'related_table': 'Tender Results'}
{'table_name': 'Winning Party', 'column_name': 'contract_id', 'improved_table_name': 'awarded contracting parties', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Winning Party', 'column_name': 'party_nif', 'improved_table_name': 'awarded contracting parties', 'improved_column_name': 'party tax identification number', 'related_table': 'Contracting Party'}
{'table_name': 'Winning Party', 'column_name': 'party_name', 'improved_table_name': 'awarded contracting parties', 'improved_column_name': 'party legal name', 'related_table': None}
