{'table_name': 'Budget Amounts', 'column_name': 'budget_id', 'improved_table_name': 'Detailed Budget Amounts Breakdown', 'improved_column_name': 'unique budget identifier', 'related_table': 'Classifications'}
{'table_name': 'Contracts', 'column_name': 'language', 'improved_table_name': None, 'improved_column_name': None, 'related_table': None}
{'table_name': 'Locations', 'column_name': 'location_id', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'unique location identifier', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'contract_id', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'contract reference identifier', 'related_table': 'Contracts'}
{'table_name': 'Locations', 'column_name': 'country_subentity', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'country sub-entity name', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_subentity_code', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'country sub-entity code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_code', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'country code', 'related_table': None}
{'table_name': 'Locations', 'column_name': 'country_name', 'improved_table_name': 'Geographic Location Details', 'improved_column_name': 'country name', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'parent_id', 'improved_table_name': 'Parent Organization Details', 'improved_column_name': 'Parent Identifier', 'related_table': 'Parent Organizations'}
{'table_name': 'Parent Organizations', 'column_name': 'party_id', 'improved_table_name': 'Parent Organization Details', 'improved_column_name': 'Party Identifier', 'related_table': 'Contracting Party'}
{'table_name': 'Parent Organizations', 'column_name': 'contract_id', 'improved_table_name': 'Parent Organization Details', 'improved_column_name': 'Contract Reference', 'related_table': 'Contracts'}
{'table_name': 'Parent Organizations', 'column_name': 'level', 'improved_table_name': 'Parent Organization Details', 'improved_column_name': 'Organizational Level', 'related_table': None}
{'table_name': 'Parent Organizations', 'column_name': 'name', 'improved_table_name': 'Parent Organization Details', 'improved_column_name': 'Organization Name', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'result_id', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'unique result identifier', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_id', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Tender Results', 'column_name': 'result_code', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'result status code', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'description', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'detailed description', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'award_date', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'date of award', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'received_tender_quantity', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'quantity of tenders received', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_id', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'contract issuance identifier', 'related_table': 'Contracts'}
{'table_name': 'Tender Results', 'column_name': 'contract_issue_date', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'contract issuance date', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_tax_exclusive', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'awarded amount excluding tax', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'awarded_payable_amount', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'awarded payable amount', 'related_table': None}
{'table_name': 'Tender Results', 'column_name': 'currency', 'improved_table_name': 'Tender Outcome Details', 'improved_column_name': 'currency of transaction', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'notice_id', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'unique notice identifier', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'contract_id', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Valid Notices', 'column_name': 'notice_type_code', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'notice type classification code', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'publication_media', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'medium of publication', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'issue_date', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'date of issue', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_type_code', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'document type classification code', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_type_name', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'document type name', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'document_uri', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'uniform resource identifier of the document', 'related_table': None}
{'table_name': 'Valid Notices', 'column_name': 'file_name', 'improved_table_name': 'List of Official Notifications', 'improved_column_name': 'file name', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'winning_party_id', 'improved_table_name': 'Successful Bidding Party Information', 'improved_column_name': 'unique identifier of the winning party', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'result_id', 'improved_table_name': 'Successful Bidding Party Information', 'improved_column_name': 'tender result identifier', 'related_table': 'Tender Results'}
{'table_name': 'Winning Party', 'column_name': 'contract_id', 'improved_table_name': 'Successful Bidding Party Information', 'improved_column_name': 'contract identifier', 'related_table': 'Contracts'}
{'table_name': 'Winning Party', 'column_name': 'party_nif', 'improved_table_name': 'Successful Bidding Party Information', 'improved_column_name': 'tax identification number of the party', 'related_table': None}
{'table_name': 'Winning Party', 'column_name': 'party_name', 'improved_table_name': 'Successful Bidding Party Information', 'improved_column_name': 'name of the winning party', 'related_table': None}
