{'table_name': 'agency', 'column_name': 'agency_id', 'improved_table_name': 'transportation agency', 'improved_column_name': 'agency identifier', 'related_table': None}
{'table_name': 'routes', 'column_name': 'agency_id', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'agency identifier', 'related_table': 'agency'}
{'table_name': 'routes', 'column_name': 'route_short_name', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route short name', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_long_name', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route full name', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_desc', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route description', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_type', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route type', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_url', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route URL', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_color', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route color', 'related_table': None}
{'table_name': 'routes', 'column_name': 'route_text_color', 'improved_table_name': 'list of transit routes', 'improved_column_name': 'route text color', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_id', 'improved_table_name': 'list of geometric shapes', 'improved_column_name': 'shape identifier', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lat', 'improved_table_name': 'list of geometric shapes', 'improved_column_name': 'shape point latitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_lon', 'improved_table_name': 'list of geometric shapes', 'improved_column_name': 'shape point longitude', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_pt_sequence', 'improved_table_name': 'list of geometric shapes', 'improved_column_name': 'shape point sequence number', 'related_table': None}
{'table_name': 'shapes', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'list of geometric shapes', 'improved_column_name': 'distance traveled along shape', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'trip_id', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'trip identifier', 'related_table': 'trips'}
{'table_name': 'stop_times', 'column_name': 'arrival_time', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'arrival time at stop', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'departure_time', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'departure time from stop', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_id', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'stop identifier', 'related_table': 'stops'}
{'table_name': 'stop_times', 'column_name': 'stop_sequence', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'sequence number of stop in trip', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'stop_headsign', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'destination displayed on headsign', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'pickup_type', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'type of pickup available', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'drop_off_type', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'type of drop-off available', 'related_table': None}
{'table_name': 'stop_times', 'column_name': 'shape_dist_traveled', 'improved_table_name': 'stop times for trips', 'improved_column_name': 'distance traveled along shape from start of trip', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_id', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop identifier', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_code', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop code', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_name', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop name', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_desc', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop description', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lat', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop latitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'stop_lon', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop longitude', 'related_table': None}
{'table_name': 'stops', 'column_name': 'zone_id', 'improved_table_name': 'public transit stops', 'improved_column_name': 'zone identifier', 'related_table': 'fare_zones'}
{'table_name': 'stops', 'column_name': 'stop_url', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop URL', 'related_table': None}
{'table_name': 'stops', 'column_name': 'location_type', 'improved_table_name': 'public transit stops', 'improved_column_name': 'location type', 'related_table': None}
{'table_name': 'stops', 'column_name': 'parent_station', 'improved_table_name': 'public transit stops', 'improved_column_name': 'parent station identifier', 'related_table': 'stops'}
{'table_name': 'stops', 'column_name': 'stop_timezone', 'improved_table_name': 'public transit stops', 'improved_column_name': 'stop timezone', 'related_table': None}
{'table_name': 'stops', 'column_name': 'wheelchair_boarding', 'improved_table_name': 'public transit stops', 'improved_column_name': 'wheelchair boarding availability', 'related_table': None}
{'table_name': 'trips', 'column_name': 'route_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'route identifier', 'related_table': 'routes'}
{'table_name': 'trips', 'column_name': 'service_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'service identifier', 'related_table': 'calendar'}
{'table_name': 'trips', 'column_name': 'trip_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'trip identifier', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_headsign', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'trip destination sign', 'related_table': None}
{'table_name': 'trips', 'column_name': 'trip_short_name', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'trip short name', 'related_table': None}
{'table_name': 'trips', 'column_name': 'direction_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'direction indicator', 'related_table': None}
{'table_name': 'trips', 'column_name': 'block_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'block identifier', 'related_table': None}
{'table_name': 'trips', 'column_name': 'shape_id', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'shape identifier', 'related_table': 'shapes'}
{'table_name': 'trips', 'column_name': 'wheelchair_accessible', 'improved_table_name': 'list of transit trips', 'improved_column_name': 'wheelchair accessibility status', 'related_table': None}
